"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"carb",1.18605619291426,0.583197626230952,0.455209264635811,0.716306347924392
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"carb",0.63781162362432,0.775120915244921,0.646167724715357,0.897198224774263
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"carb",0.546623836164138,0.834126794609233,0.712723222377619,0.961658392710782
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"carb",0.358909847040141,0.732221078618899,0.610325003892922,0.857375406632608
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"carb",1.36442388053258,0.684306707797388,0.56711176183484,0.803787231120594
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"carb",0.283858961555257,0.732221078618899,0.610325003892922,0.857375406632608
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"carb",0.880658753285151,0.775120915244921,0.646167724715357,0.897198224774263
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"carb",1.1498945499766,0.834126794609233,0.712723222377619,0.961658392710782
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"carb",0.329042058218086,0.52419174686664,0.391961409822823,0.657505517598409
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"carb",0.409945429647683,0.481291910240618,0.344840302789453,0.606949510469464
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"carb",0.504552339263751,0.684306707797388,0.56711176183484,0.803787231120594
"12","CFAC1","280_31_2","311_31",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"carb",0.402282024357387,0.583197626230952,0.455209264635811,0.716306347924392
"13","CFAC12","400_28_2","447_28",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"carb",0.371511024991743,0.775120915244921,0.646167724715357,0.897198224774263
"14","CFAC2","280_28_2","288_28",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"carb",0.839010299640157,0.834126794609233,0.712723222377619,0.961658392710782
"15","CFAC3","400_31_2","405_31",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"carb",0.197952582678044,0.52419174686664,0.391961409822823,0.657505517598409
"16","CFAC5","700_31_2","701_31",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"carb",0.184901951943002,0.481291910240618,0.344840302789453,0.606949510469464
"17","CFAC6","700_28_2","673_28",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"carb",0.654324183297463,0.732221078618899,0.610325003892922,0.857375406632608
"18","CFAC8","2800_28_2","3285_28",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"carb",0.396461910521035,0.684306707797388,0.56711176183484,0.803787231120594
"19","CFAD12","400_28_2","447_28",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"carb",0.636318400127226,0.775120915244921,0.646167724715357,0.897198224774263
"20","CFAD2","280_28_2","288_28",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"carb",0.623476142917727,0.834126794609233,0.712723222377619,0.961658392710782
"21","CFAD5","700_31_2","701_31",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"carb",0.000735213073894735,0.481291910240618,0.344840302789453,0.606949510469464
"22","CFAD6","700_28_2","673_28",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"carb",0.755506713199239,0.732221078618899,0.610325003892922,0.857375406632608
"23","CFAD8","2800_28_2","3285_28",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"carb",1.00313094508299,0.684306707797388,0.56711176183484,0.803787231120594
"24","CFAD9","400_28_3","447_28",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"carb",0.857520147005581,0.775120915244921,0.646167724715357,0.897198224774263
"25","CFAE10","280_31_3","311_31",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"carb",0.369658697471957,0.583197626230952,0.455209264635811,0.716306347924392
"26","CFAE15","280_28_3","288_28",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"carb",0.531737887380332,0.834126794609233,0.712723222377619,0.961658392710782
"27","CFAE8","2800_28_3","3285_28",3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"carb",0.285103663314613,0.684306707797388,0.56711176183484,0.803787231120594
"28","CFAF2","280_28_3","288_28",288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"carb",0.571410397337135,0.834126794609233,0.712723222377619,0.961658392710782
"29","CFAF3","400_31_3","405_31",405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"carb",0.372965631824004,0.52419174686664,0.391961409822823,0.657505517598409
"30","CFAF5","700_31_3","701_31",701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"carb",0.574677389286405,0.481291910240618,0.344840302789453,0.606949510469464
"31","CFAF6","700_28_3","673_28",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"carb",0.102534036414566,0.732221078618899,0.610325003892922,0.857375406632608
"32","CFAF8","2800_28_3","3285_28",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"carb",0.867945251477756,0.684306707797388,0.56711176183484,0.803787231120594
"33","CFAF9","400_28_3","447_28",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"carb",2.18060860701475,0.775120915244921,0.646167724715357,0.897198224774263
"34","CFPA1","280_31_1","311_31",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"carb",0.269951560813091,0.476613053870203,0.356847663181255,0.600493777411837
